|||||Sütunlar|
Satırlar|||||Türkiye-TR|
|||02-Şubat|TRY. (Türk Lirası)|97.48|
|||03-Mart|TRY. (Türk Lirası)|97.67|
|||04-Nisan|TRY. (Türk Lirası)|97.57|
|||05-Mayıs|TRY. (Türk Lirası)|99.18|
|||06-Haziran|TRY. (Türk Lirası)|100.33|
|||07-Temmuz|TRY. (Türk Lirası)|99.89|
|||08-Ağustos|TRY. (Türk Lirası)|100.07|
|||09-Eylül|TRY. (Türk Lirası)|98.9|
|||10-Ekim|TRY. (Türk Lirası)|97.39|
|||11-Kasım|TRY. (Türk Lirası)|98.77|
|||12-Aralık|TRY. (Türk Lirası)|98.68|
|2014||01-Ocak|TRY. (Türk Lirası)|101.36|
|||02-Şubat|TRY. (Türk Lirası)|98.86|
|||03-Mart|TRY. (Türk Lirası)|97.6|
|||04-Nisan|TRY. (Türk Lirası)|98.42|
|||05-Mayıs|TRY. (Türk Lirası)|100.04|
|||06-Haziran|TRY. (Türk Lirası)|100.42|
|||07-Temmuz|TRY. (Türk Lirası)|101.18|
|||08-Ağustos|TRY. (Türk Lirası)|100.2|
|||09-Eylül|TRY. (Türk Lirası)|100.26|
|||10-Ekim|TRY. (Türk Lirası)|100.82|
|||11-Kasım|TRY. (Türk Lirası)|100.95|
|||12-Aralık|TRY. (Türk Lirası)|102.74|
|2015||01-Ocak|TRY. (Türk Lirası)|106.24|
|||02-Şubat|TRY. (Türk Lirası)|105.67|
|||03-Mart|TRY. (Türk Lirası)|104.61|
|||04-Nisan|TRY. (Türk Lirası)|105.66|
|||05-Mayıs|TRY. (Türk Lirası)|106.94|
|||06-Haziran|TRY. (Türk Lirası)|106.95|
|||07-Temmuz|TRY. (Türk Lirası)|108.0|
|||08-Ağustos|TRY. (Türk Lirası)|108.69|
|||09-Eylül|TRY. (Türk Lirası)|109.78|
|||10-Ekim|TRY. (Türk Lirası)|108.49|
|||11-Kasım|TRY. (Türk Lirası)|107.88|
|||12-Aralık|TRY. (Türk Lirası)|109.89|
|2016||01-Ocak|TRY. (Türk Lirası)|114.42|
|||02-Şubat|TRY. (Türk Lirası)|114.6|
|||03-Mart|TRY. (Türk Lirası)|113.71|
|||04-Nisan|TRY. (Türk Lirası)|114.48|
|||05-Mayıs|TRY. (Türk Lirası)|113.11|
|||06-Haziran|TRY. (Türk Lirası)|111.52|
|||07-Temmuz|TRY. (Türk Lirası)|113.16|
|||08-Ağustos|TRY. (Türk Lirası)|112.98|
|||09-Eylül|TRY. (Türk Lirası)|112.72|
|||10-Ekim|TRY. (Türk Lirası)|110.78|
|||11-Kasım|TRY. (Türk Lirası)|111.47|
|||12-Aralık|TRY. (Türk Lirası)|110.53|
|2017||01-Ocak|TRY. (Türk Lirası)|108.62|
|||02-Şubat|TRY. (Türk Lirası)|106.45|
|||03-Mart|TRY. (Türk Lirası)|105.84|
|||04-Nisan|TRY. (Türk Lirası)|105.23|
|||05-Mayıs|TRY. (Türk Lirası)|105.54|
|||06-Haziran|TRY. (Türk Lirası)|107.07|
|||07-Temmuz|TRY. (Türk Lirası)|107.24|
|||08-Ağustos|TRY. (Türk Lirası)|106.56|
|||09-Eylül|TRY. (Türk Lirası)|106.99|
|||10-Ekim|TRY. (Türk Lirası)|105.76|
|||11-Kasım|TRY. (Türk Lirası)|104.91|
|||12-Aralık|TRY. (Türk Lirası)|104.79|
|2018||01-Ocak|TRY. (Türk Lirası)|104.16|
|||02-Şubat|TRY. (Türk Lirası)|107.13|
|||03-Mart|TRY. (Türk Lirası)|106.3|
||||||
